call_id,call_datetime,call_date,call_hour,day_of_week,week_number,month,agent_id,agent_name,team,shift,skill_level,tenure_years,channel,queue,answered,resolved,disposition,speed_of_answer_sec,talk_time_sec,hold_time_sec,wrap_time_sec,handle_time_sec,sla_threshold_sec,sla_met,transfer_flag,repeat_call_flag,csat_score,quality_score
CC00071,2023-02-08 14:14:11,2023-02-08,14,Wednesday,6,2023-02,AGT010,James Park,Beta,Morning,Lead,7.2,Email,General,Y,Y,Resolved,74.0,241.0,42.0,28.0,311.0,20.0,N,N,N,2.0,66.4
CC00072,2023-03-30 22:07:29,2023-03-30,22,Thursday,13,2023-03,AGT005,Elena Petrov,Gamma,Evening,Mid,4.1,Phone,Technical,Y,Y,Resolved,169.0,349.0,83.0,35.0,467.0,60.0,N,N,N,4.0,74.1
CC00073,2023-04-25 22:57:28,2023-04-25,22,Tuesday,17,2023-04,AGT006,Felix Nguyen,Gamma,Evening,Mid,2.3,Chat,General,Y,N,Callback Scheduled,80.0,175.0,5.0,38.0,218.0,20.0,N,N,N,3.0,100.0
CC00074,2023-06-09 14:47:55,2023-06-09,14,Friday,23,2023-06,AGT009,Isla Torres,Alpha,Afternoon,Mid,3.7,Phone,Technical,Y,Y,Resolved,93.0,156.0,18.0,29.0,203.0,60.0,N,N,N,4.0,96.1
CC00075,2023-04-10 19:40:15,2023-04-10,19,Monday,15,2023-04,AGT003,Carmen Diaz,Beta,Afternoon,Senior,5.8,Phone,Billing,Y,N,Escalated,43.0,254.0,3.0,56.0,313.0,60.0,Y,N,N,2.0,89.7
CC00076,2023-04-25 13:08:09,2023-04-25,13,Tuesday,17,2023-04,AGT003,Carmen Diaz,Beta,Afternoon,Senior,5.8,Phone,General,Y,Y,Resolved,41.0,209.0,4.0,48.0,261.0,60.0,Y,Y,N,4.0,65.7
CC00077,2023-01-24 14:26:21,2023-01-24,14,Tuesday,4,2023-01,AGT008,Hassan Mirza,Delta,Morning,Junior,1.9,Phone,Technical,Y,N,Escalated,115.0,403.0,3.0,37.0,443.0,60.0,N,N,Y,2.0,64.3
CC00078,2023-01-09 22:56:48,2023-01-09,22,Monday,2,2023-01,AGT005,Elena Petrov,Gamma,Evening,Mid,4.1,Chat,Technical,Y,Y,Resolved,64.0,389.0,35.0,65.0,489.0,20.0,N,N,N,3.0,61.1
CC00079,2023-04-18 14:54:57,2023-04-18,14,Tuesday,16,2023-04,AGT010,James Park,Beta,Morning,Lead,7.2,Social,Technical,Y,Y,Resolved,22.0,372.0,4.0,44.0,420.0,60.0,Y,Y,N,5.0,77.6
CC00080,2023-03-21 15:14:17,2023-03-21,15,Tuesday,12,2023-03,AGT008,Hassan Mirza,Delta,Morning,Junior,1.9,Phone,Billing,N,N,Abandoned,,,,,,,,N,Y,,
CC00081,2023-05-25 14:53:29,2023-05-25,14,Thursday,21,2023-05,AGT004,David Osei,Beta,Afternoon,Junior,0.7,Email,Retention,Y,Y,Resolved,65.0,442.0,4.0,51.0,497.0,20.0,N,N,N,2.0,98.6
CC00082,2023-05-22 20:36:42,2023-05-22,20,Monday,21,2023-05,AGT006,Felix Nguyen,Gamma,Evening,Mid,2.3,Phone,Sales,N,N,Abandoned,,,,,,,,N,Y,,
CC00083,2023-06-15 10:03:16,2023-06-15,10,Thursday,24,2023-06,AGT002,Brandon Cole,Alpha,Morning,Junior,1.1,Phone,Billing,Y,Y,Resolved,6.0,243.0,26.0,61.0,330.0,60.0,Y,N,Y,3.0,70.9
CC00084,2023-05-17 16:48:53,2023-05-17,16,Wednesday,20,2023-05,AGT004,David Osei,Beta,Afternoon,Junior,0.7,Phone,General,Y,Y,Resolved,27.0,241.0,12.0,46.0,299.0,60.0,Y,N,N,3.0,96.0
CC00085,2023-01-19 18:14:41,2023-01-19,18,Thursday,3,2023-01,AGT005,Elena Petrov,Gamma,Evening,Mid,4.1,Phone,Retention,Y,Y,Resolved,9.0,136.0,73.0,44.0,253.0,60.0,Y,Y,N,5.0,89.5
CC00086,2023-01-11 11:12:53,2023-01-11,11,Wednesday,2,2023-01,AGT001,Aaliya Khan,Alpha,Morning,Senior,3.2,Phone,Billing,Y,N,Escalated,178.0,223.0,2.0,28.0,253.0,60.0,N,Y,N,5.0,76.7
CC00087,2023-03-20 15:44:16,2023-03-20,15,Monday,12,2023-03,AGT007,Grace Okafor,Delta,Morning,Lead,6.5,Chat,Billing,Y,Y,Resolved,102.0,205.0,1.0,36.0,242.0,20.0,N,N,N,3.0,77.3
CC00088,2023-02-10 10:19:06,2023-02-10,10,Friday,6,2023-02,AGT007,Grace Okafor,Delta,Morning,Lead,6.5,Chat,Complaints,Y,Y,Resolved,25.0,472.0,5.0,13.0,490.0,20.0,N,N,N,2.0,66.7
CC00089,2023-05-16 19:45:12,2023-05-16,19,Tuesday,20,2023-05,AGT006,Felix Nguyen,Gamma,Evening,Mid,2.3,Phone,General,Y,Y,Resolved,8.0,246.0,0.0,64.0,310.0,60.0,Y,Y,N,4.0,62.5
CC00090,2023-02-07 12:54:43,2023-02-07,12,Tuesday,6,2023-02,AGT007,Grace Okafor,Delta,Morning,Lead,6.5,Chat,Billing,Y,Y,Resolved,8.0,166.0,3.0,55.0,224.0,20.0,Y,N,N,4.0,81.3
CC00091,2023-01-16 13:34:27,2023-01-16,13,Monday,3,2023-01,AGT010,James Park,Beta,Morning,Lead,7.2,Chat,Billing,Y,Y,Resolved,9.0,275.0,0.0,40.0,315.0,20.0,Y,N,N,4.0,61.0
CC00092,2023-01-05 14:52:31,2023-01-05,14,Thursday,1,2023-01,AGT007,Grace Okafor,Delta,Morning,Lead,6.5,Phone,Retention,Y,Y,Resolved,18.0,346.0,26.0,23.0,395.0,60.0,Y,N,N,3.0,97.1
CC00093,2023-06-14 10:27:11,2023-06-14,10,Wednesday,24,2023-06,AGT007,Grace Okafor,Delta,Morning,Lead,6.5,Chat,Retention,Y,Y,Resolved,133.0,362.0,60.0,50.0,472.0,20.0,N,N,Y,4.0,77.8
CC00094,2023-06-22 19:27:52,2023-06-22,19,Thursday,25,2023-06,AGT003,Carmen Diaz,Beta,Afternoon,Senior,5.8,Chat,Technical,Y,N,Transferred,42.0,212.0,4.0,56.0,272.0,20.0,N,N,N,3.0,80.2
CC00095,2023-02-01 16:56:28,2023-02-01,16,Wednesday,5,2023-02,AGT009,Isla Torres,Alpha,Afternoon,Mid,3.7,Phone,Technical,Y,Y,Resolved,135.0,335.0,9.0,30.0,374.0,60.0,N,N,Y,4.0,81.7
CC00096,2023-05-17 13:01:31,2023-05-17,13,Wednesday,20,2023-05,AGT007,Grace Okafor,Delta,Morning,Lead,6.5,Email,Billing,Y,Y,Resolved,103.0,255.0,27.0,59.0,341.0,20.0,N,N,Y,2.0,60.6
CC00097,2023-04-04 17:17:56,2023-04-04,17,Tuesday,14,2023-04,AGT003,Carmen Diaz,Beta,Afternoon,Senior,5.8,Chat,Complaints,Y,Y,Resolved,73.0,376.0,8.0,33.0,417.0,20.0,N,N,N,3.0,59.8
CC00098,2023-03-09 16:15:46,2023-03-09,16,Thursday,10,2023-03,AGT006,Felix Nguyen,Gamma,Evening,Mid,2.3,Phone,Sales,Y,Y,Resolved,32.0,314.0,39.0,47.0,400.0,60.0,Y,N,N,3.0,77.5
CC00099,2023-06-20 19:28:50,2023-06-20,19,Tuesday,25,2023-06,AGT003,Carmen Diaz,Beta,Afternoon,Senior,5.8,Phone,Technical,Y,Y,Resolved,81.0,317.0,34.0,71.0,422.0,60.0,N,N,N,4.0,69.3
CC00100,2023-03-29 18:42:37,2023-03-29,18,Wednesday,13,2023-03,AGT005,Elena Petrov,Gamma,Evening,Mid,4.1,Phone,Sales,Y,Y,Resolved,45.0,229.0,74.0,41.0,344.0,60.0,Y,N,N,4.0,83.4
CC00101,2023-04-28 17:44:29,2023-04-28,17,Friday,17,2023-04,AGT004,David Osei,Beta,Afternoon,Junior,0.7,Phone,Technical,N,N,Abandoned,,,,,,,,N,Y,,
CC00102,2023-03-10 13:07:47,2023-03-10,13,Friday,10,2023-03,AGT001,Aaliya Khan,Alpha,Morning,Senior,3.2,Phone,General,Y,Y,Resolved,90.0,264.0,56.0,60.0,380.0,60.0,N,N,N,2.0,75.3
CC00103,2023-03-20 15:17:46,2023-03-20,15,Monday,12,2023-03,AGT002,Brandon Cole,Alpha,Morning,Junior,1.1,Chat,General,Y,N,Callback Scheduled,67.0,240.0,1.0,47.0,288.0,20.0,N,N,N,3.0,73.4
CC00104,2023-03-10 12:14:23,2023-03-10,12,Friday,10,2023-03,AGT010,James Park,Beta,Morning,Lead,7.2,Phone,Billing,Y,Y,Resolved,88.0,212.0,52.0,58.0,322.0,60.0,N,N,Y,3.0,82.0
CC00105,2023-04-10 16:03:35,2023-04-10,16,Monday,15,2023-04,AGT006,Felix Nguyen,Gamma,Evening,Mid,2.3,Phone,Complaints,Y,Y,Resolved,20.0,336.0,11.0,47.0,394.0,60.0,Y,N,N,3.0,88.5
CC00106,2023-06-26 09:55:00,2023-06-26,9,Monday,26,2023-06,AGT007,Grace Okafor,Delta,Morning,Lead,6.5,Chat,Technical,Y,N,Callback Scheduled,11.0,377.0,48.0,45.0,470.0,20.0,Y,N,N,4.0,67.8
CC00107,2023-01-19 12:55:30,2023-01-19,12,Thursday,3,2023-01,AGT002,Brandon Cole,Alpha,Morning,Junior,1.1,Phone,Billing,Y,Y,Resolved,113.0,139.0,40.0,18.0,197.0,60.0,N,N,N,3.0,66.3
CC00108,2023-01-19 17:09:51,2023-01-19,17,Thursday,3,2023-01,AGT005,Elena Petrov,Gamma,Evening,Mid,4.1,Chat,Technical,Y,Y,Resolved,3.0,165.0,34.0,26.0,225.0,20.0,Y,N,N,4.0,66.1
CC00109,2023-02-13 14:38:38,2023-02-13,14,Monday,7,2023-02,AGT010,James Park,Beta,Morning,Lead,7.2,Chat,Technical,Y,Y,Resolved,42.0,413.0,21.0,69.0,503.0,20.0,N,N,N,3.0,68.8
CC00110,2023-06-12 19:19:55,2023-06-12,19,Monday,24,2023-06,AGT006,Felix Nguyen,Gamma,Evening,Mid,2.3,Chat,Technical,Y,N,Callback Scheduled,3.0,290.0,42.0,27.0,359.0,20.0,Y,N,Y,3.0,71.5
